Topic,Keywords,Topic_Label
0,"['ai', 'law', 'legal', 'criminal', 'technology', 'justice', 'digital', 'policing', 'tools', 'systems']",Artificial Intelligence for Criminal Justice Systems
1,"['social', 'network analysis', 'social network', 'criminal', 'organized', 'gang', 'groups', 'violence', 'structure', 'members']",Organized Crime Social Network Structure Analysis
2,"['recidivism', 'fairness', 'risk', 'bias', 'assessment', 'predictive', 'criminal', 'factors', 'prediction', 'justice']",Predictive Criminal Justice Fairness and Bias in Risk Assessment
3,"['big', 'big data', 'policing', 'of big', 'surveillance', 'police', 'new', 'analytics', 'security', 'data policing']",Data-Driven Police Surveillance Analytics
4,"['street', 'prediction', 'crimes', 'urban', 'spatial', 'city', 'of crime', 'crime prediction', 'theft', 'predictive']",Urban Spatial Crime Prediction
5,"['media', 'cyberbullying', 'social', 'social media', 'news', 'victimization', 'online', 'bullying', 'twitter', 'language']",Online Social Media Victimization Language and Behavior
6,"['malware', 'security', 'detection', 'deep', 'deep learning', 'attacks', 'intrusion', 'iot', 'traffic', 'cyber']",Deep Learning Malware Detection for IoT Security
7,"['fraud', 'financial', 'transactions', 'laundering', 'detection', 'money', 'credit', 'fraud detection', 'money laundering', 'blockchain']",Financial Transaction Fraud Detection in Blockchain
8,"['language', 'text', 'legal', 'classification', 'natural language', 'language processing', 'natural', 'nlp', 'police', 'prediction']",Natural Language Legal Classification (NLP) for Police Prediction
9,"['social', 'victimization', 'bullying', 'friends', 'peer', 'friendship', 'social network', 'behavior', 'adolescents', 'students']",Peer Victimization and Adolescent Friendship in Social Networks
10,"['predictive', 'predictive policing', 'policing', 'of predictive', 'police', 'algorithmic', 'policing and', 'protection', 'officer', 'policing predictive']",Predictive Police Algorithms and Protection
11,"['cybercrime', 'online', 'mining', 'web', 'social', 'forums', 'underground', 'text', 'video', 'cyber']",Underground Web Mining (Social Forums)
12,"['cyber', 'cybersecurity', 'threat', 'ai', 'security', 'cyber threat', 'attack', 'cybercrime', 'attacks', 'cyberattacks']",Cybersecurity AI Threats & Attacks
13,"['detection', 'deep learning', 'deep', 'surveillance', 'video', 'abnormal', 'surveillance system', 'abnormal behavior', 'behavior', 'traffic']",Deep Learning-Based Video Surveillance System
14,"['age', 'estimation', 'sex', 'sex estimation', 'radiographs', 'deep learning', 'dental', 'deep', 'forensic', 'gender']",Deep Learning-Based Age & Sex Estimation from Dental Radiographs (Forensic Application)
15,"['ai', 'forensic', 'forensics', 'digital forensics', 'digital', 'in forensic', 'xai', 'ancestry', 'experts', 'dna']",Digital Forensics & AI-assisted DNA Analysis
16,"['mining', 'data mining', 'clustering', 'police', 'crime analysis', 'of crime', 'mining and', 'text', 'crimes', 'of data']",Data Mining for Police Crime Analysis (Text Clustering)
17,"['authorship', 'text', 'linguistics', 'arabic', 'language', 'personality', 'linguistic', 'author', 'gender', 'language processing']",Arabic Author Personality Analysis in Text Linguistics
18,"['smart', 'city', 'big data', 'big', 'smart city', 'analytics', 'cities', 'data analytics', 'realtime', 'smart cities']",Smart City Data Analytics (Realtime)
19,"['language', 'language processing', 'natural language', 'natural', 'ontology', 'documents', 'digital', 'knowledge', 'nlp', 'corpus']",Digital Language Processing and Ontology for Knowledge Extraction from Documents
20,"['deepfake', 'deep', 'images', 'fake', 'image', 'deep learning', 'detection', 'art', 'neural', 'deepfake detection']",Deep Learning-Based Deepfake Image Detection
21,"['forensic', 'postmortem', 'pathology', 'in forensic', 'forensic pathology', 'postmortem interval', 'interval', 'were', 'estimation', 'forensic odontology']",Forensic Postmortem Interval Estimation & Odontology
22,"['signatures', 'quality', 'deep learning', 'deep', 'fingerprint', 'documents', 'image', 'identification', 'handwritten', 'forged']",Deep Learning Document Identification & Verification (Handwritten Signatures)
23,"['phishing', 'malicious', 'urls', 'url', 'websites', 'emails', 'login', 'email', 'features', 'split']",Malicious URL Features & Split Analysis (Phishing Emails & Websites)
24,"['audio', 'acoustic', 'speech', 'speaker', 'speaker identification', 'deep', 'voice', 'sounds', 'detection', 'deep learning']",Deep Learning for Speaker Identification in Audio
